Precinct,Method,Registered,Ballots Cast,Turnout (%),JANE BRUNNER,BARBARA PARKER,Write-In,Over Votes,Under Votes
364200,TC-Election Day Reporting,1223,344,28.13,96,193,,,55
364200,TC-Vote by Mail Reporting,1223,626,51.19,223,325,3,1,74
364300,TC-Election Day Reporting,576,180,31.25,42,108,1,,29
364300,TC-Vote by Mail Reporting,576,263,45.66,77,152,,,34
364310,TC-Election Day Reporting,724,190,26.24,45,115,1,,29
364310,TC-Vote by Mail Reporting,724,362,50,132,177,1,,52
364400,TC-Election Day Reporting,1064,417,39.19,96,233,15,,73
364400,TC-Vote by Mail Reporting,1064,451,42.39,123,254,2,,72
364510,TC-Election Day Reporting,846,307,36.29,52,204,3,,48
364510,TC-Vote by Mail Reporting,846,381,45.04,121,232,1,,27
364600,TC-Election Day Reporting,1016,355,34.94,75,230,7,,43
364600,TC-Vote by Mail Reporting,1016,398,39.17,101,243,4,,50
364700,TC-Election Day Reporting,882,306,34.69,65,204,,,37
364700,TC-Vote by Mail Reporting,882,362,41.04,85,223,3,1,50
364800,TC-Election Day Reporting,670,243,36.27,59,151,3,,30
364800,TC-Vote by Mail Reporting,670,217,32.39,53,138,1,1,24
364900,TC-Election Day Reporting,1332,427,32.06,100,247,2,,78
364900,TC-Vote by Mail Reporting,1332,603,45.27,168,367,2,,66
365000,TC-Election Day Reporting,603,226,37.48,41,162,2,,21
365000,TC-Vote by Mail Reporting,603,215,35.66,47,147,1,1,19
365200,TC-Election Day Reporting,1066,391,36.68,65,259,,,67
365200,TC-Vote by Mail Reporting,1066,349,32.74,79,227,2,1,40
373100,TC-Election Day Reporting,787,290,36.85,53,169,6,,62
373100,TC-Vote by Mail Reporting,787,241,30.62,54,167,1,,19
373400,TC-Election Day Reporting,1361,488,35.86,84,312,4,,88
373400,TC-Vote by Mail Reporting,1361,356,26.16,80,230,2,,44
